Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
au,custom home builders north shore,custom home builder,,,,,140,4,0.00,0.21,124,Informational,"Video, Related Searches, Local Pack, Site Links","0.42,0.42,0.11,0.15,0.65,0.65,0.65,0.80,1.00,1.00,1.00,0.80",20,,
au,custom home builders kew,custom home builder,,,,,90,6,0.00,0.00,314000,Informational,"Local Pack, Video, Image, Related Searches, AI Overview","0.00,0.23,0.00,0.00,0.80,0.80,0.80,1.00,1.00,0.80,0.80,0.66",90,,
au,custom architectural home builder eastern suburbs,custom home builder,,,,,70,18,0.00,0.00,0,Informational,"Video, Related Searches, AI Overview, Local Pack","0.00,1.00,1.00,0.77,0.55,0.77,0.55,0.44,0.55",90,,
au,custom home builder carlingford,custom home builder,,,,,70,5,0.00,0.00,64000,Informational,"Image, Knowledge Panel, Video","1.00,0.71,0.71",70,,
au,custom home builders mona vale,custom home builder,,,,,50,7,0.00,0.33,541000,Informational,"Local Pack, Video, Image, Video Carousel, Related Searches, AI Overview","0.18,0.18,0.18,0.18,0.63,0.63,0.63,1.00,0.81,0.81,0.81,0.63",90,,
au,custom home builders western suburbs,custom home builder,,,,,50,21,0.00,0.00,1830000,Informational,"Local Pack, Related Searches, AI Overview","0.14,0.14,0.14,0.00,1.00,0.78,0.64,0.50,0.50,0.50,0.78,1.00",90,,
au,how to choose a custom home builder,custom home builder,,,,,50,0,0.00,0.33,191000000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.22,0.22,0.22,0.00,1.00,1.00,1.00,0.77,0.55,1.00,0.77,0.77",,,
au,building house building,builder,,,,,1000,19,1.35,0.74,3840000000,"Informational, Transactional","Related Searches, Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask","1.00,1.00,1.00,1.00,0.24,0.76,0.76,0.76,0.55,0.67,0.76,0.55",20,,
au,modern home designs,builder,,,,,1000,28,0.78,0.35,667000000,Informational,"Image, Related Searches, Image Pack, Site Links, Video","0.24,0.36,0.36,0.20,0.81,1.00,1.00,1.00,1.00,1.00,1.00,0.81",20,,
au,duplex builders sydney,builder,,,,,720,28,2.62,0.57,912000,Informational,"Related Searches, AI Overview, Local Pack, Video","0.36,0.30,0.24,0.24,0.76,0.76,0.76,0.76,1.00,1.00,1.00,0.76",90,,
